,Saison,Semaine Entrainement,Date,Time on playing field (s),Total distance (m),Distance in speed zone ? 25 km/h (m),Jumps,Impacts,Accelerations,Decelerations,Sprints,Change of direction,Jump Load per mass (J/kg),Accum Acceleration Load,High Metabolic Load Distance (m),Maximum speed (km/h),Maximum acceleration (m/s²),Maximum deceleration (m/s²),Blessures
0,2018/2019,1,30/07/2018,5178.0,3784.0,32.0,45.0,0.0,35.0,10.0,0.0,5.0,159.3,513.7,182.0,28.59,3.57,-3.23,0.0
1,2018/2019,1,30/07/2018,5061.0,3751.0,21.0,24.0,0.0,12.0,6.0,0.0,1.0,61.31,441.06,97.0,27.14,4.35,-2.6,0.0
2,2018/2019,1,30/07/2018,5854.0,3938.0,27.0,25.0,0.0,12.0,7.0,0.0,5.0,67.34,451.08,107.0,26.55,3.37,-2.95,0.0
3,2018/2019,1,30/07/2018,4739.0,3683.0,15.0,45.0,0.0,38.0,24.0,0.0,3.0,153.39,397.33,207.0,26.28,4.35,-2.77,0.0
4,2018/2019,1,30/07/2018,5272.0,3307.0,15.0,36.0,0.0,19.0,3.0,0.0,0.0,104.1,379.77,128.0,25.53,3.54,-2.67,0.0
5,2018/2019,1,30/07/2018,5555.0,3908.0,8.0,32.0,0.0,19.0,6.0,0.0,1.0,94.97,419.67,121.0,25.39,4.37,-4.21,0.0
6,2018/2019,1,30/07/2018,5269.0,3386.0,8.0,34.0,0.0,19.0,2.0,0.0,1.0,107.71,320.31,113.0,25.38,3.61,-2.23,0.0
7,2018/2019,1,30/07/2018,5558.0,3521.0,5.0,11.0,0.0,18.0,5.0,0.0,1.0,31.43,351.87,120.0,25.1,3.49,-4.41,0.0
8,2018/2019,1,30/07/2018,5662.0,2911.0,4.0,20.0,0.0,13.0,6.0,0.0,3.0,62.8,411.79,108.0,25.02,3.42,-2.93,0.0
9,2018/2019,1,30/07/2018,4441.0,2470.0,0.0,2.0,0.0,16.0,11.0,0.0,0.0,5.47,335.94,86.0,24.34,3.52,-3.98,0.0
10,2018/2019,1,30/07/2018,4497.0,3270.0,0.0,37.0,0.0,26.0,6.0,0.0,2.0,100.68,396.1,160.0,24.23,3.31,-2.31,0.0
11,2018/2019,1,30/07/2018,4868.0,2348.0,0.0,2.0,0.0,15.0,5.0,0.0,0.0,4.59,304.52,85.0,24.13,4.37,-3.15,0.0
12,2018/2019,1,30/07/2018,5750.0,3306.0,0.0,13.0,0.0,6.0,3.0,0.0,0.0,32.45,372.85,72.0,23.26,3.46,-2.95,0.0
13,2018/2019,1,30/07/2018,5091.0,2993.0,0.0,28.0,0.0,9.0,2.0,0.0,1.0,85.19,452.45,87.0,22.66,3.35,-3.17,0.0
14,2018/2019,1,01/08/2018,3868.0,3877.0,77.0,13.0,0.0,51.0,33.0,0.0,1.0,46.41,436.6,732.0,28.63,4.18,-4.35,0.0
15,2018/2019,1,01/08/2018,3555.0,3768.0,121.0,9.0,0.0,45.0,16.0,0.0,0.0,33.22,379.79,692.0,27.44,4.6,-2.9,0.0
